tconst,genres
tt0081353,Adventure
tt0081353,Comedy
tt0081353,Family
tt0081366,Horror
tt0081366,Horror
tt0081369,
tt0081376,Comedy
tt0081376,Mystery
tt0081383,Horror
tt0081383,Mystery
tt0081383,Thriller
tt0081400,Action
tt0081400,Adventure
tt0081400,Drama
tt0081405,Crime
tt0081405,Drama
tt0081414,Drama
tt0081414,Fantasy
tt0081416,Drama
tt0081421,Mystery
tt0081421,Sci-Fi
tt0081421,Thriller
tt0081439,Adventure
tt0081439,Comedy
tt0081439,Crime
tt0081445,Action
tt0081445,Adventure
tt0081445,Drama
tt0081447,Action
tt0081447,Adventure
tt0081447,Action
tt0081447,Adventure
tt0081457,Horror
tt0081457,Sci-Fi
tt0081470,Action
tt0081470,History
tt0081470,War
tt0081479,Drama
tt0081505,Drama
tt0081505,Horror
tt0081513,Comedy
tt0081513,Mystery
tt0081517,Action
tt0081517,Drama
tt0081517,Sport
tt0081528,Drama
tt0081529,Action
tt0081529,Adventure
tt0081529,Comedy
tt0081534,Drama
tt0081534,Fantasy
tt0081534,Romance
tt0081541,Comedy
tt0081541,Comedy
tt0081554,Comedy
tt0081554,Drama
tt0081568,Action
tt0081568,Comedy
tt0081568,Drama
tt0081591,Comedy
tt0081591,Drama
tt0081591,Romance
tt0081614,Comedy
tt0081614,Drama
tt0081614,Romance
tt0081617,Horror
tt0081617,Mystery
tt0081617,Thriller
tt0081617,Horror
tt0081617,Mystery
tt0081617,Thriller
tt0081617,Horror
tt0081617,Mystery
tt0081617,Thriller
tt0081619,Crime
tt0081619,Horror
tt0081619,Music
tt0081658,Thriller
tt0081658,Thriller
tt0081678,Drama
tt0081679,Drama
tt0081684,Drama
tt0081685,Action
tt0081685,Crime
tt0081685,Drama
tt0081686,Drama
tt0081696,Drama
tt0081696,Romance
tt0081696,Western
tt0081698,Comedy
tt0081698,Comedy
tt0081705,Drama
tt0081705,Thriller
tt0081721,Drama
tt0081721,Family
tt0081721,Fantasy
tt0081728,Comedy
tt0081729,Comedy
tt0081729,Drama
tt0081733,Action
tt0081733,Crime
tt0081733,Sport
tt0081738,Family
tt0081738,Horror
tt0081738,Mystery
tt0081745,Comedy
tt0081751,Comedy
tt0081751,Fantasy
tt0081764,Horror
tt0081764,Sci-Fi
tt0081764,Thriller
tt0081790,Comedy
tt0081809,Action
tt0081809,Adventure
tt0081809,Thriller
tt0081964,Comedy
tt0081964,Drama
tt0081964,Sport
tt0081974,Drama
tt0081974,Romance
tt0081974,Thriller
tt0081989,Drama
tt0081989,Sci-Fi
tt0081989,Thriller
tt0082001,Comedy
tt0082001,Drama
tt0082001,Romance
tt0082005,Action
tt0082005,Crime
tt0082005,Thriller
